epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,534.527,0.89974,1.77143,1.14171,1.15119,0,0.50253,0.42839,0.40468,0.30387,0.5325,0.37188,0.3899,0.28426,1.32868,2.68817,1.81944,1.45844,0,0.000171752,0.000171752,0.000171752
47,545.603,0.88413,1.77498,1.1169,1.14717,0,0.58676,0.41337,0.41546,0.30451,0.58423,0.39651,0.3986,0.28361,1.31859,2.62576,1.79368,1.44454,0,0.000160747,0.000160747,0.000160747
48,557.873,0.89233,1.76622,1.1312,1.15213,0,0.58546,0.42234,0.42431,0.30853,0.56472,0.40471,0.40704,0.28659,1.34946,2.6169,1.82157,1.49212,0,0.000149741,0.000149741,0.000149741
49,570.615,0.8785,1.74428,1.09952,1.14853,0,0.5249,0.42176,0.42039,0.31353,0.52142,0.4025,0.40468,0.29077,1.33168,2.616,1.78837,1.47042,0,0.000138736,0.000138736,0.000138736
50,582.731,0.887,1.71346,1.08135,1.14508,0,0.53226,0.42339,0.41257,0.30355,0.51772,0.41902,0.40379,0.28467,1.33902,2.61259,1.81239,1.48373,0,0.000127731,0.000127731,0.000127731
51,595.656,0.91947,1.70505,1.13175,1.18228,0,0.60008,0.38286,0.41372,0.29907,0.56105,0.38863,0.40517,0.28243,1.35753,2.65626,1.80353,1.50357,0,0.000116725,0.000116725,0.000116725
52,608.307,0.85791,1.60085,0.99118,1.14562,0,0.55435,0.42628,0.41767,0.30209,0.53441,0.41185,0.41005,0.28598,1.34901,2.64922,1.82116,1.47931,0,0.00010572,0.00010572,0.00010572
53,620.816,0.85416,1.55609,0.94012,1.12783,0,0.43796,0.4177,0.40924,0.30123,0.42358,0.39423,0.39735,0.28648,1.33964,2.664,1.78552,1.47392,0,9.4714e-05,9.4714e-05,9.4714e-05
54,633.671,0.8465,1.55287,0.93453,1.12491,0,0.60189,0.38151,0.41183,0.3016,0.58528,0.37254,0.3982,0.28632,1.35353,2.64721,1.76528,1.4883,0,8.37085e-05,8.37085e-05,8.37085e-05
55,646.962,0.8275,1.5353,0.92096,1.11704,0,0.53457,0.43743,0.41497,0.30226,0.50076,0.44455,0.4052,0.28819,1.36316,2.62188,1.79878,1.49559,0,7.2703e-05,7.2703e-05,7.2703e-05
56,657.599,0.80203,1.52393,0.88366,1.10046,0,0.52218,0.42232,0.40929,0.29787,0.54584,0.38311,0.39671,0.28478,1.34923,2.65105,1.7856,1.48298,0,6.16975e-05,6.16975e-05,6.16975e-05
57,667.064,0.82287,1.5005,0.88246,1.11302,0,0.53529,0.41707,0.41153,0.30111,0.52554,0.38584,0.39629,0.28666,1.34637,2.66401,1.78365,1.48697,0,5.0692e-05,5.0692e-05,5.0692e-05
58,676.619,0.81562,1.52699,0.88078,1.1083,0,0.40364,0.45818,0.41583,0.30502,0.41043,0.43419,0.40558,0.28955,1.34634,2.64567,1.76604,1.48462,0,3.96865e-05,3.96865e-05,3.96865e-05
59,686.049,0.80367,1.49982,0.86756,1.09635,0,0.54618,0.42716,0.41871,0.3033,0.51761,0.41688,0.40334,0.28864,1.34409,2.66434,1.77219,1.48655,0,2.8681e-05,2.8681e-05,2.8681e-05
60,695.478,0.78641,1.44656,0.84591,1.07889,0,0.53734,0.43423,0.41744,0.30504,0.51434,0.42037,0.40459,0.29025,1.33962,2.65751,1.7775,1.48208,0,1.76755e-05,1.76755e-05,1.76755e-05
