epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,2206.9,0.95244,1.96001,1.2249,1.24155,0,0.58289,0.49433,0.52425,0.36528,0.56821,0.48416,0.50589,0.33103,1.29962,2.51344,1.70888,1.6227,0,7.86156e-05,7.86156e-05,7.86156e-05
39,2264.49,0.94512,1.94989,1.20725,1.23738,0,0.58288,0.48915,0.52953,0.36938,0.56773,0.4775,0.50985,0.33722,1.30223,2.51074,1.75062,1.61836,0,7.27944e-05,7.27944e-05,7.27944e-05
40,2323.55,0.93412,1.93223,1.20287,1.23054,0,0.60651,0.47699,0.52985,0.37071,0.59328,0.46447,0.50965,0.33985,1.29434,2.50649,1.74799,1.62169,0,6.69732e-05,6.69732e-05,6.69732e-05
41,2380.03,0.97244,1.86733,1.04391,1.31505,0,0.61231,0.47761,0.53153,0.37347,0.60745,0.45777,0.5127,0.34442,1.28151,2.51808,1.71588,1.59875,0,6.1152e-05,6.1152e-05,6.1152e-05
42,2436.29,0.9349,1.80681,0.96558,1.28244,0,0.6004,0.49541,0.53294,0.37698,0.61133,0.47053,0.51753,0.34768,1.28013,2.51152,1.69746,1.60028,0,5.53308e-05,5.53308e-05,5.53308e-05
43,2490.04,0.91816,1.77567,0.94941,1.2719,0,0.64118,0.47392,0.53854,0.38166,0.63532,0.46357,0.52172,0.35302,1.27208,2.49674,1.69272,1.59433,0,4.95096e-05,4.95096e-05,4.95096e-05
44,2544.67,0.9078,1.75196,0.92806,1.26471,0,0.58436,0.52524,0.54029,0.38338,0.5927,0.48708,0.52743,0.35171,1.27557,2.49949,1.67256,1.60611,0,4.36884e-05,4.36884e-05,4.36884e-05
45,2599.51,0.89854,1.72896,0.90718,1.25744,0,0.59077,0.50955,0.54335,0.38529,0.59894,0.48258,0.52854,0.35575,1.2733,2.50752,1.67327,1.59884,0,3.78672e-05,3.78672e-05,3.78672e-05
46,2653.74,0.89262,1.72962,0.90347,1.25322,0,0.64485,0.49906,0.54567,0.38472,0.64072,0.48806,0.53022,0.35626,1.26824,2.50222,1.68758,1.59583,0,3.2046e-05,3.2046e-05,3.2046e-05
47,2710.95,0.88872,1.71308,0.87473,1.24595,0,0.63095,0.49933,0.54811,0.38995,0.61945,0.49069,0.5325,0.35924,1.25947,2.49935,1.6711,1.58925,0,2.62248e-05,2.62248e-05,2.62248e-05
48,2766.95,0.88116,1.70626,0.86997,1.24263,0,0.63966,0.49683,0.54731,0.38978,0.63799,0.48505,0.53213,0.36038,1.25929,2.50145,1.67036,1.59054,0,2.04036e-05,2.04036e-05,2.04036e-05
49,2823.58,0.87251,1.69635,0.85856,1.23649,0,0.67209,0.47686,0.54682,0.38975,0.664,0.46844,0.5315,0.35628,1.25881,2.5011,1.66614,1.59001,0,1.45824e-05,1.45824e-05,1.45824e-05
50,2882.41,0.87163,1.68945,0.85448,1.23485,0,0.63919,0.49478,0.54709,0.38758,0.62608,0.47614,0.52845,0.35485,1.25802,2.5031,1.67642,1.58848,0,8.7612e-06,8.7612e-06,8.7612e-06
